source	target	depth
covid-19 pandemic	coronavirus disease 2019	1
covid-19 pandemic	emerging infectious disease	1
covid-19 pandemic	globalisation and disease	1
black lives matter	black identity extremists	1
black lives matter	black twitter	1
black lives matter	civil rights movement	1
black lives matter	de-escalation	1
black lives matter	h.r. 40 - commission to study and develop reparation proposals for african-americans act	1
black lives matter	racial capitalism	1
black lives matter	racism in the united states	1
black lives matter	reparations for slavery	1
black lives matter	sayhername	1
black lives matter	taking a stand in baton rouge	1
black lives matter	the hate u give	1
black lives matter	the hate u give (film)	1
black lives matter	the personal is political	1
black lives matter	identity politics	1
black lives matter	woke	1
democratic party (united states)	democratic party (united states) organizations	1
democratic party (united states)	political party strength in u.s. states	1
democratic party (united states)	politics of the united states	1
republican party (united states)	factions in the republican party	1
republican party (united states)	political party strength in u.s. states	1
republican party (united states)	republican in name only	1
republican party (united states)	south park republican	1
south park republican	conservatism in the united states	2
south park republican	factions in the republican party (united states)	2
south park republican	horseshoe theory	2
south park republican	libertarian conservatism	2
south park republican	libertarianism in the united states	2
south park republican	libertarian republican	2
south park republican	log cabin republicans	2
south park republican	radical centrism	2
south park republican	republican liberty caucus	2
south park republican	rockefeller republican	2
south park republican	south park conservatives	2
republican in name only	blue dog coalition	2
republican in name only	democrat in name only	2
republican in name only	half-breeds (politics)	2
republican in name only	never trump movement	2
republican in name only	ripon society	2
republican in name only	republican voters against trump	2
republican in name only	rockefeller republican	2
republican in name only	stalwart (politics)	2
political party strength in u.s. states	comparison of u.s. state governments	2
political party strength in u.s. states	united states state legislatures' partisan trend	2
political party strength in u.s. states	party divisions of united states congresses	2
political party strength in u.s. states	united states presidents and control of congress	2
factions in the republican party	factions in the democratic party (united states)	2
factions in the republican party	factions in the libertarian party (united states)	2
politics of the united states	federal government of the united states	2
politics of the united states	foreign relations of the united states	2
politics of the united states	gun politics in the united states	2
politics of the united states	law of the united states	2
politics of the united states	political divisions of the united states	2
politics of the united states	political ideologies in the united states	2
politics of the united states	politics of the southern united states	2
politics of the united states	tea party movement	2
tea party movement	coffee party usa	3
tea party movement	corporate personhood	3
tea party movement	conservatism in the united states	3
tea party movement	donald trump presidential campaign, 2016	3
tea party movement	evangelical christian politics in latin america	3
tea party movement	united kingdom independence party	3
tea party movement	the daily beast	3
politics of the southern united states	elections in the southern united states	3
politics of the southern united states	politics of the united states	3
politics of the southern united states	blue dog democrats	3
politics of the southern united states	boll weevil (politics)	3
politics of the southern united states	conservative democrat	3
politics of the southern united states	southern democrat	3
politics of the southern united states	deep south	3
politics of the southern united states	upland south	3
politics of the southern united states	history of the southern united states	3
politics of the southern united states	history of the united states republican party	3
politics of the southern united states	history of the united states democratic party	3
politics of the southern united states	political culture of the united states	3
politics of the southern united states	southern agrarians	3
politics of the southern united states	southernization (us)	3
politics of the southern united states	southern strategy	3
political ideologies in the united states	american left	3
political ideologies in the united states	conservativism in the united states	3
political ideologies in the united states	political culture of the united states	3
political ideologies in the united states	red states and blue states	3
political ideologies in the united states	southernization (us)	3
political ideologies in the united states	democratic party (united states)	3
political ideologies in the united states	factions in the democratic party (united states)	3
political ideologies in the united states	republican party (united states)	3
political ideologies in the united states	factions in the republican party (united states)	3
political divisions of the united states	aboriginal title in the united states	3
political divisions of the united states	geography of the united states	3
political divisions of the united states	historic regions of the united states	3
political divisions of the united states	organized incorporated territories of the united states	3
political divisions of the united states	territorial evolution of the united states	3
political divisions of the united states	territories of the united states	3
political divisions of the united states	united states territorial acquisitions	3
political divisions of the united states	united states territory	3
political divisions of the united states	unorganized territory	3
law of the united states	admission to the bar in the united states	3
law of the united states	attorneys in the united states	3
law of the united states	black's law dictionary	3
law of the united states	courts of the united states	3
law of the united states	legal education in the united states	3
law of the united states	law school in the united states	3
law of the united states	legal systems of the world	3
law of the united states	privacy laws of the united states	3
law of the united states	legal research in the united states	3
gun politics in the united states	2018 united states gun violence protests	3
gun politics in the united states	assault weapons legislation in the united states	3
gun politics in the united states	campus carry in the united states	3
gun politics in the united states	concealed carry in the united states	3
gun politics in the united states	gun culture in the united states	3
gun politics in the united states	gun ownership	3
gun politics in the united states	gun show loophole	3
gun politics in the united states	high-capacity magazine ban	3
gun politics in the united states	open carry in the united states	3
gun politics in the united states	one handgun a month law	3
gun politics in the united states	school shooting	3
gun politics in the united states	universal background check	3
foreign relations of the united states	criticism of united states foreign policy	3
foreign relations of the united states	east asia–united states relations	3
foreign relations of the united states	foreign policy of the united states	3
foreign relations of the united states	history of united states foreign policy	3
foreign relations of the united states	major non-nato ally	3
foreign relations of the united states	united states foreign aid	3
federal government of the united states	executive office of the president of the united states	3
federal government of the united states	line-item veto in the united states	3
federal government of the united states	united states district court	3
federal government of the united states	united states federal courts	3
federal government of the united states	united states federal judicial circuits	3
federal government of the united states	united states code	3
federal government of the united states	political divisions of the united states	3
federal government of the united states	united states territory	3
federal government of the united states	business.gov	3
federal government of the united states	copyright status of work by the u.s. government	3
federal government of the united states	usa.gov	3
factions in the libertarian party (united states)	consequentialist libertarianism	3
factions in the libertarian party (united states)	debates within libertarianism	3
factions in the libertarian party (united states)	geolibertarianism	3
factions in the libertarian party (united states)	left-libertarianism	3
factions in the libertarian party (united states)	libertarian perspectives on political alliances	3
factions in the libertarian party (united states)	limited government	3
factions in the libertarian party (united states)	lpradicals	3
factions in the libertarian party (united states)	natural-rights libertarianism	3
factions in the libertarian party (united states)	neo-libertarianism	3
factions in the libertarian party (united states)	objectivism and libertarianism	3
factions in the libertarian party (united states)	optimal tax	3
factions in the libertarian party (united states)	right-libertarianism	3
factions in the libertarian party (united states)	schools of economic thought	3
factions in the libertarian party (united states)	factions in the democratic party (united states)	3
factions in the libertarian party (united states)	factions in the republican party (united states)	3
factions in the democratic party (united states)	political positions of the democratic party	3
factions in the democratic party (united states)	democratic party (united states) organizations	3
factions in the democratic party (united states)	unofficial organizations for democrats	3
factions in the democratic party (united states)	factions in the republican party (united states)	3
factions in the democratic party (united states)	factions in the libertarian party (united states)	3
united states presidents and control of congress	divided government	3
united states presidents and control of congress	government trifecta	3
united states presidents and control of congress	party divisions of united states congresses	3
united states presidents and control of congress	political party strength in u.s. states	3
party divisions of united states congresses	divided government in the united states	3
party divisions of united states congresses	political party strength in u.s. states	3
united states state legislatures' partisan trend	political party strength in u.s. states	3
comparison of u.s. state governments	initiatives and referendums in the united states	3
comparison of u.s. state governments	government of the district of columbia	3
comparison of u.s. state governments	territories of the united states	3
rockefeller republican	conservative democrat	3
rockefeller republican	blue dogs	3
rockefeller republican	factions in the republican party (united states)	3
rockefeller republican	libertarian democrat	3
rockefeller republican	the new york young republican club	3
rockefeller republican	one-nation conservatism	3
rockefeller republican	red tory	3
rockefeller republican	republican main street partnership	3
rockefeller republican	republican in name only	3
rockefeller republican	ripon society	3
rockefeller republican	roosevelt republican	3
rockefeller republican	south park republican	3
never trump movement	the case for impeachment	3
never trump movement	allan lichtman	3
never trump movement	fire and fury	3
never trump movement	michael wolff (journalist)	3
never trump movement	protests against donald trump	3
never trump movement	republicans in name only	3
never trump movement	republican voters against trump	3
half-breeds (politics)	republican in name only	3
democrat in name only	new democrats	3
democrat in name only	blue dog democrats	3
democrat in name only	boll weevil (politics)	3
democrat in name only	conservative democrat	3
democrat in name only	left-right politics	3
democrat in name only	libertarian democrat	3
democrat in name only	party switching in the united states	3
democrat in name only	republican in name only	3
democrat in name only	southern democrats	3
democrat in name only	stealth conservative	3
blue dog coalition	factions in the democratic party (united states)	3
blue dog coalition	new democrat coalition	3
blue dog coalition	republican main street partnership	3
blue dog coalition	tuesday group	3
south park conservatives	subject matter in south park	3
republican liberty caucus	constitutionalism	3
republican liberty caucus	factions in the republican party (united states)	3
republican liberty caucus	fusionism	3
republican liberty caucus	libertarian conservatism	3
republican liberty caucus	libertarian party (united states)	3
republican liberty caucus	libertarian perspectives on political alliances	3
republican liberty caucus	libertarian republican	3
republican liberty caucus	neo-libertarianism	3
republican liberty caucus	paleolibertarianism	3
republican liberty caucus	right-libertarianism	3
republican liberty caucus	south park republican	3
log cabin republicans	deploraball	3
log cabin republicans	deplorable pride	3
log cabin republicans	gay conservatives	3
log cabin republicans	gay republicans (2004 film)	3
log cabin republicans	gays for trump	3
log cabin republicans	goproud	3
libertarian republican	factions in the republican party	3
libertarian republican	fusionism	3
libertarian republican	libertarian conservatism	3
libertarian republican	libertarian democrat	3
libertarian republican	libertarian perspectives on political alliances	3
libertarian republican	liberty caucus	3
libertarian republican	old right (united states)	3
libertarian republican	paleolibertarianism	3
libertarian republican	republican liberty caucus	3
libertarian republican	right-libertarianism	3
libertarian republican	rockefeller republican	3
libertarian republican	south park republican	3
libertarianism in the united states	american left	3
libertarianism in the united states	anarchism in the united states	3
libertarianism in the united states	conservatism in the united states	3
libertarianism in the united states	liberalism in the united states	3
libertarianism in the united states	libertarianism in south africa	3
libertarianism in the united states	libertarianism in the united kingdom	3
libertarianism in the united states	libertarian party (united states)	3
libertarianism in the united states	modern liberalism in the united states	3
libertarianism in the united states	progressivism in the united states	3
libertarianism in the united states	socialism in the united states	3
libertarian conservatism	classical liberalism	3
libertarian conservatism	conservatism in the united states	3
libertarian conservatism	conservative liberalism	3
libertarian conservatism	constitutionalism	3
libertarian conservatism	cultural conservatism	3
libertarian conservatism	democracy promotion	3
libertarian conservatism	empire of liberty	3
libertarian conservatism	fiscal conservatism	3
libertarian conservatism	freedom caucus	3
libertarian conservatism	fusionism	3
libertarian conservatism	liberal conservatism	3
libertarian conservatism	libertarian perspectives on foreign intervention	3
libertarian conservatism	libertarian republican	3
libertarian conservatism	libertarianism and objectivism	3
libertarian conservatism	libertarianism in the united states	3
libertarian conservatism	liberty caucus	3
libertarian conservatism	manifest destiny	3
libertarian conservatism	nation-building	3
libertarian conservatism	neoconservatism	3
libertarian conservatism	neoliberalism	3
libertarian conservatism	objectivism (ayn rand)	3
libertarian conservatism	old right (united states)	3
libertarian conservatism	paleoconservatism	3
libertarian conservatism	paleolibertarianism	3
libertarian conservatism	republican liberty caucus	3
libertarian conservatism	right-libertarianism	3
libertarian conservatism	supply-side economics	3
libertarian conservatism	tea party movement	3
libertarian conservatism	western conservatism	3
horseshoe theory	argument to moderation	3
horseshoe theory	blair's law	3
horseshoe theory	centrism	3
horseshoe theory	comparison of nazism and stalinism	3
horseshoe theory	hemicycle	3
horseshoe theory	inglehart–welzel cultural map of the world	3
horseshoe theory	left–right political spectrum	3
horseshoe theory	molotov–ribbentrop pact	3
horseshoe theory	germany–soviet union relations, 1918–1941	3
horseshoe theory	national bolshevism	3
horseshoe theory	neutrality (philosophy)	3
horseshoe theory	nolan chart	3
horseshoe theory	open–closed political spectrum	3
horseshoe theory	political compass	3
horseshoe theory	political spectrum	3
horseshoe theory	strasserism	3
factions in the republican party (united states)	factions in the democratic party (united states)	3
factions in the republican party (united states)	factions in the libertarian party (united states)	3
conservatism in the united states	antifederalism	3
conservatism in the united states	bibliography of conservatism in the united states	3
conservatism in the united states	christian right	3
conservatism in the united states	compassionate conservatism	3
conservatism in the united states	conservative party (united states)	3
conservatism in the united states	constitution party (united states)	3
conservatism in the united states	federalism in the united states	3
conservatism in the united states	fusionism	3
conservatism in the united states	liberalism in the united states	3
conservatism in the united states	libertarianism in the united states	3
conservatism in the united states	media bias in the united states	3
conservatism in the united states	neoconservatism	3
conservatism in the united states	new federalism	3
conservatism in the united states	old right (united states)	3
conservatism in the united states	paleoconservatism	3
conservatism in the united states	progressivism in the united states	3
conservatism in the united states	republican party (united states)	3
conservatism in the united states	socialism in the united states	3
conservatism in the united states	timeline of modern american conservatism	3
democratic party (united states) organizations	unofficial organizations for democrats	2
woke	dear white people (tv series)	2
woke	dear white people	2
woke	african-american culture	2
woke	political hip hop	2
identity politics	adversarial process	2
identity politics	affirmative action	2
identity politics	afrophobia	2
identity politics	auto-segregation	2
identity politics	blue-collar worker	2
identity politics	white-collar worker	2
identity politics	client politics	2
identity politics	conflict theory	2
identity politics	conviction politics	2
identity politics	culture war	2
identity politics	diaspora politics	2
identity politics	divide and rule	2
identity politics	endogamy	2
identity politics	ethnic interest group	2
identity politics	false consciousness	2
identity politics	group polarization	2
identity politics	group rights	2
identity politics	identity (social science)	2
identity politics	identitarianism	2
identity politics	interest group liberalism	2
identity politics	marx's theory of alienation	2
identity politics	minority influence	2
identity politics	nationalism	2
identity politics	new social movements	2
identity politics	objectification	2
identity politics	opposition to immigration	2
identity politics	political consciousness	2
identity politics	political correctness	2
identity politics	queer theory	2
identity politics	racialism	2
identity politics	sectarianism	2
identity politics	separatism	2
identity politics	social conflict theory	2
identity politics	standpoint theory	2
identity politics	toxic masculinity	2
identity politics	tribalism	2
identity politics	turkophobia	2
identity politics	voting bloc	2
the hate u give (film)	police brutality	2
taking a stand in baton rouge	black lives matter	2
reparations for slavery	american descendants of slavery	2
reparations for slavery	slavery in the united states	2
reparations for slavery	history of slavery in the united states	2
reparations for slavery	treatment of slaves in the united states	2
reparations for slavery	h.r. 40 - commission to study and develop reparation proposals for african-americans act	2
reparations for slavery	civil liberties act of 1988	2
reparations for slavery	japanese americans	2
reparations for slavery	internment of japanese americans	2
reparations for slavery	world war ii	2
reparations for slavery	reparations agreement between israel and west germany	2
reparations for slavery	the national coalition of blacks for reparations in america	2
reparations for slavery	restitution	2
reparations for slavery	legal remedy	2
reparations for slavery	reparation (legal)	2
reparations for slavery	reparations (transitional justice)	2
reparations for slavery	reparations (website)	2
reparations for slavery	slavery reparations scam	2
reparations for slavery	war reparations	2
war reparations	treaty of frankfurt (1871)	3
war reparations	treaty of versailles	3
war reparations	yalta conference	3
war reparations	potsdam conference	3
war reparations	boxer protocol	3
war reparations	treaty of san francisco	3
war reparations	treaty on basic relations between japan and the republic of korea	3
war reparations	reparations (transitional justice)	3
war reparations	legal remedy	3
war reparations	restitution	3
war reparations	haiti indemnity controversy	3
war reparations	reparation (legal)	3
war reparations	reparations agreement between israel and west germany	3
war reparations	holocaust reparations	3
war reparations	world war i reparations	3
slavery reparations scam	affinity fraud	3
reparations (website)	reparations (transitional justice)	3
reparations (website)	restitution	3
reparations (website)	reparation (legal)	3
reparations (website)	reparations for slavery debate in the united states	3
reparation (legal)	legal remedy	3
reparation (legal)	holocaust reparations	3
reparation (legal)	reparations for slavery	3
reparation (legal)	reparations for slavery debate in the united states	3
reparation (legal)	reparations (transitional justice)	3
reparation (legal)	restitution	3
reparation (legal)	war reparations	3
legal remedy	damages	3
legal remedy	compensatory damages	3
legal remedy	consequential damages	3
legal remedy	punitive damages	3
legal remedy	incidental damages	3
legal remedy	nominal damages	3
legal remedy	liquidated damages	3
legal remedy	statutory damages	3
legal remedy	reliance damages	3
legal remedy	treble damages	3
legal remedy	injunction	3
legal remedy	account of profits	3
legal remedy	constructive trust	3
legal remedy	equitable lien	3
legal remedy	subrogation	3
legal remedy	specific performance	3
legal remedy	rectification (law)	3
legal remedy	rescission (contract law)	3
legal remedy	restitution	3
legal remedy	declaratory judgment	3
legal remedy	adequate remedy	3
legal remedy	civil remedy	3
legal remedy	civil and political rights	3
legal remedy	election of remedies	3
legal remedy	equity (law)	3
legal remedy	equitable remedy	3
legal remedy	habeas corpus	3
legal remedy	provisional remedy	3
restitution	blood money (term)	3
restitution	english unjust enrichment law	3
restitution	equity (legal concept)	3
restitution	quasi-contract	3
restitution	restitution (theology)	3
restitution	legal remedy	3
restitution	reparation (legal)	3
restitution	reparations agreement between israel and west germany	3
restitution	holocaust reparations	3
restitution	world war i reparations	3
restitution	reparations for slavery debate in the united states	3
