source	target	depth
black lives matter	black identity extremists	1
black lives matter	black twitter	1
black lives matter	civil rights movement	1
black lives matter	de-escalation	1
black lives matter	h.r. 40 - commission to study and develop reparation proposals for african-americans act	1
black lives matter	racial capitalism	1
black lives matter	racism in the united states	1
black lives matter	reparations for slavery	1
black lives matter	sayhername	1
black lives matter	taking a stand in baton rouge	1
black lives matter	the hate u give	1
black lives matter	the hate u give (film)	1
black lives matter	the personal is political	1
black lives matter	identity politics	1
black lives matter	woke	1
covid-19 pandemic	coronavirus disease 2019	1
covid-19 pandemic	emerging infectious disease	1
covid-19 pandemic	globalisation and disease	1
all lives matter	blue lives matter	1
police brutality	authoritarian personality	1
police brutality	civil liberties	1
police brutality	civil rights	1
police brutality	suicide by cop	1
police brutality	high speed pursuit syndrome	1
police brutality	international day against police brutality	1
police brutality	legal observer	1
police brutality	photography is not a crime	1
police brutality	police misconduct	1
police brutality	police riot	1
police brutality	prisoner abuse	1
police brutality	rough ride (police brutality)	1
police brutality	christopher commission	1
police brutality	copwatch	1
police brutality	pitchess motion	1
democratic party (united states)	democratic party (united states) organizations	1
democratic party (united states)	political party strength in u.s. states	1
democratic party (united states)	politics of the united states	1
politics of the united states	federal government of the united states	2
politics of the united states	foreign relations of the united states	2
politics of the united states	gun politics in the united states	2
politics of the united states	law of the united states	2
politics of the united states	political divisions of the united states	2
politics of the united states	political ideologies in the united states	2
politics of the united states	politics of the southern united states	2
politics of the united states	tea party movement	2
political party strength in u.s. states	comparison of u.s. state governments	2
political party strength in u.s. states	united states state legislatures' partisan trend	2
political party strength in u.s. states	party divisions of united states congresses	2
political party strength in u.s. states	united states presidents and control of congress	2
democratic party (united states) organizations	unofficial organizations for democrats	2
pitchess motion	brady disclosure	2
pitchess motion	brady v. maryland	2
pitchess motion	testilying	2
copwatch	these streets are watching	2
copwatch	peaceful streets project	2
copwatch	photography is not a crime	2
copwatch	cop block	2
copwatch	inverse surveillance	2
copwatch	legal observer	2
